date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:39	41021/41021	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2017:04:37%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html	D:/web/xam/htdocs/webdowload/p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html	(from )
00:04:40	1002/1002	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Dec%202018%2017:04:38%20GMT	https://p.w3layouts.com/robots.txt		(from )
00:04:41	146010/146010	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:53%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/css/bootstrap.css	D:/web/xam/htdocs/webdowload/p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/css/bootstrap.css	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:41	54557/54557	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:53%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/css/style.css	D:/web/xam/htdocs/webdowload/p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/css/style.css	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:42	35134/35134	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:53%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/css/font-awesome.css	D:/web/xam/htdocs/webdowload/p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/css/font-awesome.css	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:42	1131/1131	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c07bcac-46b%22	http://vdo.ai/core/w3layouts/vdo.ai.js	D:/web/xam/htdocs/webdowload/vdo.ai/core/w3layouts/vdo.ai.js	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:44	39519/39519	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c515482709e7934aa393e76e81eb577%22	http://m.servedby-buysellads.com/monetization.js	D:/web/xam/htdocs/webdowload/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:49	43710/43710	---MC-	200	added ('OK')	text/javascript	date:Mon,%2005%20Nov%202018%2021:10:09%20GMT	http://www.google-analytics.com/analytics.js	D:/web/xam/htdocs/webdowload/www.google-analytics.com/analytics.js	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:54	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	D:/web/xam/htdocs/webdowload/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
00:04:54	72525/72525	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Sep%202017%2018:59:53%20GMT	https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/images/ab.jpg	D:/web/xam/htdocs/webdowload/p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/images/ab.jpg	(from https://p.w3layouts.com/demos_new/template_demo/05-06-2017/conjugality-demo_Free/1335634329/web/index.html)
